"id","Mobility.and.transportation","Imagery.and.GIS","Climate.and.environment","History.and.epistemology","Sustainability.risk.planning","Economic.geography","Development.territory.system.of.cities","Urban.dynamics","Statistics.and.modeling","Emotional.geography"
"1",88,0,0,0,1,0,0,0,0,0,0
"2",90,0,0,0,0,0.8571428571,0,0,0.1428571429,0,0
"3",7242,0,0.2,0,0.2,0.2,0,0.2,0.2,0,0
"4",2856,0,0.6,0.2,0,0,0,0,0,0.2,0
"5",129,0,1,0,0,0,0,0,0,0,0
"6",137,0,0,0,0,0,0,0,0.5,0.5,0
"7",148,0,0.6666666667,0,0.1666666667,0,0,0,0,0.1666666667,0
"8",361,0,0.5,0,0,0,0,0,0,0.5,0
"9",153,0,0.4,0,0.4,0,0,0,0.2,0,0
"10",168,0,0.4,0,0,0,0,0.2,0.2,0.2,0
"11",194,0,0.4444444444,0,0.2222222222,0,0,0,0,0.3333333333,0
"12",213,0,0,0,1,0,0,0,0,0,0
"13",221,0,0.5,0,0.5,0,0,0,0,0,0
"14",5782,0,0,0.5,0,0,0,0.5,0,0,0
"15",4020,0,0.4,0,0,0,0,0,0,0.6,0
"16",22410,0,0,0,0.625,0.125,0,0,0.125,0.125,0
"17",22447,0,0,0,0,1,0,0,0,0,0
"18",1796,0,0,0,1,0,0,0,0,0,0
"19",6736,1,0,0,0,0,0,0,0,0,0
"20",22918,0.25,0,0,0.75,0,0,0,0,0,0
"21",333,0,0,0,0,0,0,1,0,0,0
"22",5995,0,0.1428571429,0,0,0.7142857143,0,0,0,0.1428571429,0
"23",343,0,0,0,0.4,0,0,0,0,0.6,0
"24",1590,0,0,0,0.2857142857,0.4285714286,0,0,0,0.2857142857,0
"25",1671,0,0,0,0,0,0,0.3333333333,0,0.6666666667,0
"26",373,0,0,0,0,0,0,0,0.6666666667,0.3333333333,0
"27",385,0,0,0,0,0,0,0.2,0,0.8,0
"28",393,0,0,0,0,0.1666666667,0.5,0.3333333333,0,0,0
"29",6785,0.125,0,0,0,0,0,0.25,0.375,0,0.25
"30",7058,0,0.4,0,0,0,0,0,0.6,0,0
"31",1644,0.1666666667,0.1666666667,0,0,0,0.1666666667,0.1666666667,0,0.3333333333,0
"32",1627,0,0,0,0.2,0,0,0,0.2,0.6,0
"33",554,0,0.6666666667,0,0.3333333333,0,0,0,0,0,0
"34",566,0,0,0,0,0,0,0,0.5,0.5,0
"35",4811,0,0.4,0,0,0.4,0,0,0,0.2,0
"36",4825,0,0,0,0,0,0,0,0,1,0
"37",823,0,0,0,0.6666666667,0,0,0,0,0,0.3333333333
"38",889,0,0.3333333333,0,0,0,0,0,0.3333333333,0.3333333333,0
"39",897,0,0,0,0.1428571429,0,0,0,0.1428571429,0.5714285714,0.1428571429
"40",911,0,0.5,0,0,0,0,0,0,0.5,0
"41",938,0,0,0,0,0,0,0,0.6666666667,0.3333333333,0
"42",990,0.3333333333,0.3333333333,0,0,0,0,0,0.3333333333,0,0
"43",996,0,0.25,0,0,0.75,0,0,0,0,0
"44",1008,0,0,0,0.5,0,0,0.5,0,0,0
"45",1023,0,0,0,0.4,0,0.2,0.2,0.2,0,0
"46",1035,0,0,0,0,0,0,0,0,1,0
"47",4150,0.25,0,0,0.25,0,0,0.25,0,0.25,0
"48",1059,0,0,0,1,0,0,0,0,0,0
"49",1069,0,0,0,0.25,0,0,0.5,0.25,0,0
"50",1075,0,0,0,0.75,0,0,0,0,0,0.25
"51",1088,0,0,0,0.4,0,0,0.2,0.2,0.2,0
"52",1103,0,0,0,0.4,0,0,0.2,0.2,0,0.2
"53",1114,0,0,0,1,0,0,0,0,0,0
"54",1147,0,0,0,0.6666666667,0.1666666667,0,0,0.1666666667,0,0
"55",1162,0,0,0,0.6666666667,0,0,0,0.3333333333,0,0
"56",1170,0,0,0,0,0,0,0,0.8571428571,0,0.1428571429
"57",1185,0.25,0,0,0,0,0,0,0.5,0,0.25
"58",1196,0,0,0,0.75,0,0,0,0.25,0,0
"59",1203,0.1666666667,0,0,0.5,0,0,0,0.3333333333,0,0
"60",1226,0,0,0,0,0,0,0,0,1,0
"61",1240,0,0,0,0,0.5,0,0,0.5,0,0
"62",1249,0,0,0.3333333333,0,0,0.6666666667,0,0,0,0
"63",1260,0,0,0.2,0.2,0.2,0,0.2,0.2,0,0
"64",1272,0,0.25,0,0,0.5,0,0,0,0.25,0
"65",1282,0,0,0.25,0,0.25,0,0.25,0.25,0,0
"66",1296,0,0,0.6666666667,0,0,0,0,0.3333333333,0,0
"67",1306,0,0,0.3333333333,0,0,0,0.3333333333,0.3333333333,0,0
"68",1312,0,0.5,0,0,0.5,0,0,0,0,0
"69",1318,0,0,0.5,0,0,0,0.5,0,0,0
"70",1413,0.3333333333,0.3333333333,0.3333333333,0,0,0,0,0,0,0
"71",1419,0,0,0,0,0.25,0,0.5,0.25,0,0
"72",1427,0,0,0.5,0,0.5,0,0,0,0,0
"73",1435,0.25,0,0,0,0.25,0,0.25,0.25,0,0
"74",3684,0.2,0.6,0,0,0,0,0,0,0.2,0
"75",6106,0,0.4,0.2,0.2,0.2,0,0,0,0,0
"76",1448,0,0,0.8333333333,0,0,0,0.1666666667,0,0,0
"77",1467,0,0,0.5,0.5,0,0,0,0,0,0
"78",1478,0,0,0.5,0,0,0,0.25,0.25,0,0
"79",1486,0,0,0.2,0.2,0.2,0,0.2,0.2,0,0
"80",1496,0,0,0,0,0.6666666667,0,0,0.3333333333,0,0
"81",1504,0.25,0,0.5,0,0,0,0,0.25,0,0
"82",1514,0,0,0,0,0,0,1,0,0,0
"83",4269,0,0,0,0,0,0.25,0,0,0.25,0.5
"84",1551,0,0.5,0,0,0,0,0,0,0.5,0
"85",27010,0,0,0,0,0.4,0,0,0.2,0,0.4
"86",1564,0,0.3333333333,0.3333333333,0,0,0,0,0,0.3333333333,0
"87",1546,0,0,0,0,0,0,0,0,1,0
"88",2636,0,0,0,0,0,0,0,0.1428571429,0.7142857143,0.1428571429
"89",2711,0,0.6666666667,0,0,0,0,0,0,0.3333333333,0
"90",4078,0,0.6666666667,0,0.3333333333,0,0,0,0,0,0
"91",4087,0,0,0.5,0.25,0.25,0,0,0,0,0
"92",1708,0,0,0.75,0,0.25,0,0,0,0,0
"93",3108,0,0,0,0.3333333333,0,0,0,0,0.6666666667,0
"94",1784,0,1,0,0,0,0,0,0,0,0
"95",1739,0,0,0,0.25,0.25,0,0.25,0.25,0,0
"96",1750,0,0,0,0,0,0,0,1,0,0
"97",2683,0,0,0.1428571429,0.1428571429,0,0.7142857143,0,0,0,0
"98",6470,0,0.5,0,0.5,0,0,0,0,0,0
"99",20573,0.25,0.25,0,0,0.25,0,0,0.25,0,0
"100",20563,0,0,0,0,0,0,0.3333333333,0,0,0.6666666667
"101",4056,0,0.25,0,0,0,0,0,0,0.75,0
"102",4065,0,0,0,1,0,0,0,0,0,0
"103",1808,0,0.25,0,0.75,0,0,0,0,0,0
"104",1824,0,0,0,0.2,0,0,0.2,0.4,0.2,0
"105",1836,0,0,0,0.125,0.125,0,0.25,0.25,0,0.25
"106",3925,1,0,0,0,0,0,0,0,0,0
"107",1866,0.5,0,0,0,0,0,0,0.25,0.25,0
"108",2519,0,0,0,0.2,0,0,0.4,0.4,0,0
"109",4233,0,0.6,0,0,0.2,0,0,0,0.2,0
"110",3670,0,0.2,0,0,0,0,0.2,0,0.4,0.2
"111",3669,0,0,0,0,0,0.1666666667,0,0.3333333333,0.5,0
"112",3747,0,0.4,0.2,0.2,0,0.2,0,0,0,0
"113",1931,0,0,0,0.1666666667,0,0,0.1666666667,0.5,0.1666666667,0
"114",4252,0,0.4,0,0,0.6,0,0,0,0,0
"115",5355,0.25,0.25,0,0,0.5,0,0,0,0,0
"116",3851,0,0,0,0,0,0,0.25,0.75,0,0
"117",4188,0,0.3333333333,0,0,0,0,0,0.1666666667,0.5,0
"118",1965,0,0.2,0,0.2,0.4,0,0,0.2,0,0
"119",1979,0.0666666667,0.0666666667,0,0.0666666667,0.2,0,0.0666666667,0.4666666667,0,0.0666666667
"120",3721,0,0,0,0,0,0,0.5,0,0.5,0
"121",3772,0,0.5,0,0,0.5,0,0,0,0,0
"122",3722,0.2,0.4,0,0,0,0,0,0,0.4,0
"123",3733,0,0,0,0,0,0,0,0,0.8,0.2
"124",3742,0,0,0,0,0,0,0,0,1,0
"125",2048,0,0.8333333333,0,0,0.1666666667,0,0,0,0,0
"126",2063,0,0.8,0,0,0,0,0,0,0.2,0
"127",3755,0,0.6666666667,0.1666666667,0,0.1666666667,0,0,0,0,0
"128",3790,0,0,0,0,0,0,0,0.75,0.25,0
"129",2154,0,0,0,0.6666666667,0,0,0.3333333333,0,0,0
"130",2171,0.1666666667,0,0,0,0.3333333333,0.1666666667,0.1666666667,0,0.1666666667,0
"131",3795,0,0.4444444444,0.2222222222,0,0,0,0,0,0.3333333333,0
"132",3812,0,0.6666666667,0,0,0,0,0.3333333333,0,0,0
"133",3815,0.125,0,0,0.25,0,0.125,0.375,0,0,0.125
"134",2189,1,0,0,0,0,0,0,0,0,0
"135",6050,0,0,0.3333333333,0,0.3333333333,0,0,0,0,0.3333333333
"136",2199,0.6666666667,0,0,0,0,0,0,0,0.3333333333,0
"137",3827,0,0,0,0.3333333333,0,0,0,0,0.6666666667,0
"138",3835,0,0,0,0,0,0,0,0,1,0
"139",3901,0,0,0,0.4,0,0,0.6,0,0,0
"140",14253,0.125,0,0,0.875,0,0,0,0,0,0
"141",24903,0,0.1666666667,0,0.8333333333,0,0,0,0,0,0
"142",2440,0,0,0,0.6,0,0,0,0.4,0,0
"143",25547,0,0,0,0.6,0,0,0,0.4,0,0
"144",2235,0,0.5,0,0,0,0,0,0.25,0.25,0
"145",24688,0,1,0,0,0,0,0,0,0,0
"146",24747,0,0,0,0.1428571429,0,0,0,0,0,0.8571428571
"147",2242,0,0.2,0,0,0,0,0,0,0.8,0
"148",2255,0,0.3,0.2,0,0.1,0,0,0,0.4,0
"149",4437,0,0.125,0,0.375,0.125,0,0,0.25,0.125,0
"150",2289,0.2,0,0,0,0,0,0,0,0.8,0
"151",3935,0,0,0,0,0,0,0.5,0,0.5,0
"152",4167,0,0.75,0,0,0,0,0,0,0.25,0
"153",4110,0.3333333333,0,0,0,0,0,0.3333333333,0,0.3333333333,0
"154",4118,0.6666666667,0,0,0,0,0,0,0,0.3333333333,0
"155",4343,0,0.3333333333,0,0,0,0,0,0,0.6666666667,0
"156",2329,0,0,0,0,0.1666666667,0,0.1666666667,0,0.6666666667,0
"157",3976,0,0,0,0.2,0.2,0,0,0,0.6,0
"158",3977,0,0.75,0,0.25,0,0,0,0,0,0
"159",3989,0,0,0,0.5,0.125,0,0,0.25,0,0.125
"160",4004,0,0,0,1,0,0,0,0,0,0
"161",4011,0.3333333333,0,0,0,0.3333333333,0,0,0,0.3333333333,0
"162",4019,0,1,0,0,0,0,0,0,0,0
"163",3944,0,0.3333333333,0,0.5,0,0,0.1666666667,0,0,0
"164",3961,0,0,0,0.5,0.25,0,0.25,0,0,0
"165",2871,0,0.3333333333,0,0,0,0,0,0.6666666667,0,0
"166",2436,0,0,0,0,0.4,0,0,0,0.6,0
"167",2379,0,0,0,0,0.2857142857,0,0.2857142857,0.1428571429,0.2857142857,0
"168",4750,0,0.1666666667,0.1666666667,0,0,0,0,0,0.6666666667,0
"169",4792,0,0,0.1428571429,0,0,0.5714285714,0,0.2857142857,0,0
"170",2381,0,0,0,0,0,0,0,0,1,0
"171",3936,0,0.5,0,0,0,0,0,0.5,0,0
"172",2389,0,0,0,0,0,0,0,0,1,0
"173",2407,0,0,0,0,0,0,0,0,1,0
"174",2420,0,0,0,0,0,0,0,0.1666666667,0.8333333333,0
"175",2455,0,0.25,0,0,0,0.25,0.25,0.25,0,0
"176",2463,0.7142857143,0,0,0,0,0,0.1428571429,0,0.1428571429,0
"177",12063,0,0.2,0,0,0,0,0,0.8,0,0
"178",2490,0,0,0,1,0,0,0,0,0,0
"179",2500,0,0.3333333333,0,0.3333333333,0,0,0,0,0.3333333333,0
"180",2654,0,0.25,0,0,0,0,0,0,0.75,0
"181",2665,0,0.4,0,0.2,0.2,0,0.2,0,0,0
"182",2508,0.4,0,0.2,0,0,0,0,0,0.4,0
"183",2938,0,0.5714285714,0.1428571429,0,0,0,0,0,0.2857142857,0
"184",2560,0,0,0,0.1666666667,0,0,0.3333333333,0.1666666667,0.1666666667,0.1666666667
"185",2536,0,0,0,0.3333333333,0.6666666667,0,0,0,0,0
"186",2549,0,0,0,0.75,0,0.25,0,0,0,0
"187",2760,0,0,0.2,0,0,0,0.6,0.2,0,0
"188",2575,0,0,0,0.3333333333,0.1666666667,0.1666666667,0.1666666667,0,0,0.1666666667
"189",3430,0.5,0,0,0,0.1666666667,0,0,0.3333333333,0,0
"190",3447,0,1,0,0,0,0,0,0,0,0
"191",3843,0,0,0,0.5,0.25,0,0,0.25,0,0
"192",6610,0,0.2,0,0.4,0,0.2,0,0,0.2,0
"193",3859,0,0,0,0.5,0.5,0,0,0,0,0
"194",2587,0.1666666667,0,0.1666666667,0.1666666667,0.3333333333,0,0.1666666667,0,0,0
"195",3877,0,0,0,0.25,0,0,0,0.25,0.5,0
"196",3884,0,0.4,0,0.2,0,0,0,0.2,0.2,0
"197",2614,0,0.3333333333,0,0,0.6666666667,0,0,0,0,0
"198",2621,0,0.5714285714,0,0.2857142857,0,0,0,0,0.1428571429,0
"199",3501,0,0,0,1,0,0,0,0,0,0
"200",3503,0,0.4,0,0.2,0,0,0,0,0.4,0
"201",2761,0,0.5,0.5,0,0,0,0,0,0,0
"202",2777,0.1666666667,0,0,0.1666666667,0.1666666667,0,0,0.1666666667,0.3333333333,0
"203",4251,0.2,0,0,0.4,0,0,0,0.2,0.2,0
"204",2790,0.6,0,0,0,0,0.4,0,0,0,0
"205",2802,0,0,0,0.5,0,0,0.5,0,0,0
"206",2811,0,0.2,0,0,0,0,0,0,0.8,0
"207",2823,0,0,0.3333333333,0,0.3333333333,0,0,0,0.3333333333,0
"208",2831,0.25,0.5,0.25,0,0,0,0,0,0,0
"209",13093,0,0,0.3333333333,0.6666666667,0,0,0,0,0,0
"210",12653,0.6666666667,0.2222222222,0,0,0,0,0,0,0.1111111111,0
"211",2889,0,0.8,0,0,0.2,0,0,0,0,0
"212",2898,0,0,0,0,0,0,0,0,1,0
"213",2925,0,0,0,0.25,0,0,0,0.5,0,0.25
"214",2954,0,0,0,0,0,0,1,0,0,0
"215",2966,0,0,0,1,0,0,0,0,0,0
"216",2978,0.25,0,0,0,0,0,0.25,0,0.5,0
"217",3115,0,0.5,0,0.125,0.125,0,0,0.125,0.125,0
"218",2991,0,0,0,0,0.25,0,0,0,0.5,0.25
"219",3000,0,0.1666666667,0,0,0,0.1666666667,0,0.6666666667,0,0
"220",3013,0,0,0,0.8,0.2,0,0,0,0,0
"221",3027,0,0.8,0,0,0,0,0,0,0.2,0
"222",3144,0,0,0,0.6666666667,0,0,0,0.3333333333,0,0
"223",3184,0,0.1428571429,0,0.1428571429,0.1428571429,0,0.4285714286,0.1428571429,0,0
"224",3045,0,0.4,0,0.2,0,0,0.2,0.2,0,0
"225",3046,0,0.1666666667,0,0.3333333333,0,0,0.5,0,0,0
"226",24931,0.25,0,0,0,0,0,0,0.75,0,0
"227",3067,0,0.1666666667,0.1666666667,0,0.1666666667,0,0.5,0,0,0
"228",3081,0,0,0.125,0.125,0.75,0,0,0,0,0
"229",7149,0,0.3333333333,0,0.6666666667,0,0,0,0,0,0
"230",4513,0.25,0.25,0,0,0,0,0.25,0,0.25,0
"231",3132,0,0.3333333333,0.3333333333,0,0,0,0,0.3333333333,0,0
"232",5484,0,0,0,0.6,0.2,0,0.2,0,0,0
"233",5493,0,0,0,0.8333333333,0,0,0.1666666667,0,0,0
"234",5497,0,0.25,0,0.5,0,0,0,0,0.25,0
"235",3200,0,0,0,0.3333333333,0,0,0.3333333333,0,0.3333333333,0
"236",3207,0,0,0,0,0,0,0.6666666667,0,0,0.3333333333
"237",3219,0,0.4,0.2,0,0,0,0,0,0.4,0
"238",24606,0,0,0,0,0,0,0.2857142857,0,0.7142857143,0
"239",3338,0,0,1,0,0,0,0,0,0,0
"240",3230,0,0.2,0,0,0,0,0.6,0,0,0.2
"241",3238,0,0,0,0,0,0,0.8333333333,0.1666666667,0,0
"242",3275,0,0.2,0,0.2,0,0,0,0.2,0.4,0
"243",3257,0,0,0,0.2,0.2,0,0,0.6,0,0
"244",3280,0,0.7,0,0.1,0,0,0.1,0,0.1,0
"245",3273,0.2,0.2,0,0,0.2,0,0,0,0.4,0
"246",18082,0,0.7142857143,0.1428571429,0,0,0,0,0,0.1428571429,0
"247",3298,0,0.4,0.2,0.4,0,0,0,0,0,0
"248",3316,0,0,0,0,0,0,0,0,0.6666666667,0.3333333333
"249",3401,0,0,0,0.6666666667,0,0,0,0.3333333333,0,0
"250",3365,0,0,0,0.2,0.2,0,0.4,0,0,0.2
"251",3389,0,0,0,0,0.25,0,0.5,0,0,0.25
"252",3352,0,0.4,0.2,0,0,0,0.2,0,0.2,0
"253",3376,0,0,0,0,0,0.2,0.4,0,0.4,0
"254",3458,0,0,0,0,0,0,0,0,1,0
"255",3472,0,0.25,0,0,0,0,0.25,0,0.5,0
"256",3481,0,0,0,0.2,0,0,0,0,0.8,0
"257",3491,0,0,0,0,0,0,0,0.6666666667,0.3333333333,0
"258",3425,0.1666666667,0.5,0,0,0,0,0.1666666667,0,0.1666666667,0
"259",3426,0,0,0,0.8571428571,0,0,0,0,0.1428571429,0
"260",3520,0,0.1666666667,0,0.8333333333,0,0,0,0,0,0
"261",4840,0,0,0,0,0.5,0,0.5,0,0,0
"262",4839,0,0.2,0,0.4,0,0.2,0.2,0,0,0
"263",4894,0,0.1666666667,0,0,0,0.1666666667,0,0.3333333333,0.3333333333,0
"264",3536,0,0,0,0,0.3333333333,0,0,0.6666666667,0,0
"265",3583,0.25,0.25,0.25,0,0,0,0.25,0,0,0
"266",3627,0,0.1428571429,0,0.1428571429,0,0.1428571429,0.5714285714,0,0,0
"267",3634,0,0,0,0,0.3333333333,0,0,0.3333333333,0.3333333333,0
"268",4219,0,0,0,0.1666666667,0,0.1666666667,0.3333333333,0,0.3333333333,0
"269",3616,0,1,0,0,0,0,0,0,0,0
"270",3617,0,0.75,0,0,0,0,0,0,0.25,0
"271",4179,0,0,0,0,0,0,0,0,1,0
"272",4141,0,0,0.5,0,0,0,0.5,0,0,0
"273",3552,0,0.1111111111,0.2222222222,0,0.3333333333,0,0.2222222222,0.1111111111,0,0
"274",3570,0,0.5,0,0,0,0,0,0,0.5,0
"275",4288,0,0.2222222222,0,0.3333333333,0,0,0,0,0.4444444444,0
"276",4289,0,0.6,0,0.2,0.2,0,0,0,0,0
"277",4304,0.2857142857,0.2857142857,0,0,0,0.1428571429,0,0.2857142857,0,0
"278",4328,0,0.2,0,0.6,0,0,0.2,0,0,0
"279",4323,0,0.4,0,0,0,0,0.6,0,0,0
"280",4325,0,0,0,1,0,0,0,0,0,0
"281",4349,0.2,0.6,0,0,0,0,0.2,0,0,0
"282",4357,0.2,0,0,0,0,0,0,0,0.8,0
"283",24779,0,0,0,0,0.1666666667,0,0,0,0.8333333333,0
"284",24787,0,0,0,0,0,0,0,0.3333333333,0.6666666667,0
"285",4375,0,0.1,0.1,0.5,0.1,0.2,0,0,0,0
"286",4397,0,0,0,0.2,0,0,0.8,0,0,0
"287",4405,0,0.6666666667,0,0.3333333333,0,0,0,0,0,0
"288",4460,0,0,0.3333333333,0.3333333333,0,0,0.3333333333,0,0,0
"289",4467,0.4285714286,0,0,0,0,0,0.4285714286,0,0,0.1428571429
"290",24816,0,0,0,0,0,0,0,0,1,0
"291",4478,0.5,0.25,0,0,0,0,0.25,0,0,0
"292",4805,0,0.6666666667,0,0,0,0,0.3333333333,0,0,0
"293",4845,0,0,0,0,0.8,0,0.2,0,0,0
"294",4856,0.2,0,0,0,0,0,0,0.6,0.2,0
"295",4870,0.2,0,0.2,0,0,0.6,0,0,0,0
"296",4882,0.1111111111,0,0,0,0,0,0,0.7777777778,0,0.1111111111
"297",25520,0,0.5,0,0,0,0,0,0.5,0,0
"298",4895,0,0,0,0,0,1,0,0,0,0
"299",4912,0,0.6666666667,0.3333333333,0,0,0,0,0,0,0
"300",4917,0,0.25,0,0,0,0,0.25,0,0.5,0
"301",4925,0,0,0,1,0,0,0,0,0,0
"302",4930,0,0,0,0,0,0.25,0,0.25,0.5,0
"303",4963,0,0,0,0,0,0,0,0,1,0
"304",5227,0,0.5,0,0.25,0,0,0,0,0.25,0
"305",4970,0,0,0,0,0.5,0,0.25,0.25,0,0
"306",5006,0,0,0.6666666667,0.1666666667,0.1666666667,0,0,0,0,0
"307",4994,0,0,0,0,0.2,0.2,0,0,0.6,0
"308",5055,0,0,0,0.25,0,0,0.25,0,0.25,0.25
"309",5064,0,0,0,1,0,0,0,0,0,0
"310",5069,0,0.75,0,0.25,0,0,0,0,0,0
"311",5088,0.25,0.25,0,0,0,0,0,0,0.5,0
"312",5101,0.1666666667,0,0,0.1666666667,0,0,0,0,0.6666666667,0
"313",5111,0,0.1666666667,0,0,0.1666666667,0,0,0,0.6666666667,0
"314",5050,0,0.5,0,0,0,0,0,0,0.5,0
"315",5034,0,0.75,0,0.25,0,0,0,0,0,0
"316",5043,0,0.5714285714,0,0,0,0,0,0.1428571429,0.2857142857,0
"317",5125,0.3333333333,0,0,0,0.3333333333,0,0,0,0.3333333333,0
"318",5128,0.75,0,0,0,0,0,0,0,0.25,0
"319",5131,0,0.1666666667,0,0.3333333333,0,0,0,0,0.5,0
"320",5145,0,0.75,0,0.25,0,0,0,0,0,0
"321",5156,0.3333333333,0.6666666667,0,0,0,0,0,0,0,0
"322",5163,0,0.6,0,0,0,0,0,0,0.4,0
"323",5172,0.6,0,0,0,0,0,0,0,0.4,0
"324",5187,0.5,0,0,0.5,0,0,0,0,0,0
"325",5234,0,0.25,0,0.5,0,0,0,0,0.25,0
"326",5247,0,0.6666666667,0,0,0,0,0,0,0,0.3333333333
"327",5251,0,0.3333333333,0,0,0,0.3333333333,0,0.3333333333,0,0
"328",5257,0,0,0,1,0,0,0,0,0,0
"329",5265,0,0.8,0,0,0,0,0,0,0.2,0
"330",5277,0,0,0,0,0,0,0.3333333333,0.6666666667,0,0
"331",5826,0,0,0,0,0,0,0,0.6,0.4,0
"332",5315,0,0,0,1,0,0,0,0,0,0
"333",5316,0,0,0,0.1428571429,0,0,0,0,0,0.8571428571
"334",5332,0,0.3333333333,0,0.6666666667,0,0,0,0,0,0
"335",5342,0,0.3333333333,0,0.6666666667,0,0,0,0,0,0
"336",5432,0,0,0,0.25,0,0,0.25,0.25,0.25,0
"337",5431,0,0.25,0,0.5,0,0,0,0,0.25,0
"338",5387,0,0.2,0,0.2,0.2,0,0,0.4,0,0
"339",5394,0,0,0,1,0,0,0,0,0,0
"340",5399,0,0,0,1,0,0,0,0,0,0
"341",5416,0,0,0,1,0,0,0,0,0,0
"342",5417,0,0.2,0,0.6,0,0,0,0,0,0.2
"343",5439,0,0,0,0,0.125,0.125,0.125,0.625,0,0
"344",5532,0.5,0.25,0,0,0,0,0,0.125,0.125,0
"345",5565,0.4,0,0,0,0,0.6,0,0,0,0
"346",5554,0,0,0,0,0,0,0,0,1,0
"347",5574,0.375,0,0,0,0,0.625,0,0,0,0
"348",17762,0.6666666667,0,0,0,0,0,0,0.1666666667,0,0.1666666667
"349",5591,0,0,0,0.3333333333,0,0.6666666667,0,0,0,0
"350",5607,0.1428571429,0,0,0,0,0,0,0.1428571429,0.7142857143,0
"351",5615,0,0,0,0.3333333333,0,0,0.1666666667,0.1666666667,0.3333333333,0
"352",6407,0,0.5,0,0,0,0,0,0,0.5,0
"353",6498,0,0,0,1,0,0,0,0,0,0
"354",5633,0,0.25,0,0.5,0,0,0.25,0,0,0
"355",15973,0.3333333333,0.3333333333,0,0,0.3333333333,0,0,0,0,0
"356",6225,0,0,0,0,0,0,0,1,0,0
"357",7492,0,0,0,0,0,0.2857142857,0,0.5714285714,0,0.1428571429
"358",7722,0,0.6666666667,0.1666666667,0,0.1666666667,0,0,0,0,0
"359",7872,0,0.3333333333,0,0,0,0.5,0.1666666667,0,0,0
"360",8002,0,0.8,0,0,0,0,0,0,0.2,0
"361",8142,0,0,0,0,0.4,0,0.4,0.2,0,0
"362",8212,0,0.75,0,0,0,0,0,0,0.25,0
"363",8322,0,0.5,0,0,0.1666666667,0,0,0,0.3333333333,0
"364",8462,0,0.4,0,0,0,0,0,0,0.6,0
