"id","Mobility.and.transportation","Imagery.and.GIS","Climate.and.environment","History.and.epistemology","Sustainability.risk.planning","Economic.geography","Development.territory.system.of.cities","Urban.dynamics","Statistics.and.modeling","Emotional.geography"
"365",12581,0,0.25,0,0.25,0,0,0,0.25,0,0.25
"366",8692,0,0,0,0,0,0,0,0,1,0
"367",8902,0,0,0,0,0.3333333333,0,0,0.3333333333,0.3333333333,0
"368",8962,0,0,0,0,0,0,0.25,0.25,0.5,0
"369",9052,0,0,0,0,0,0,0,0,1,0
"370",9262,0.3333333333,0.1666666667,0.1666666667,0,0.1666666667,0,0,0,0.1666666667,0
"371",9272,0,1,0,0,0,0,0,0,0,0
"372",22341,0,0,0,0.2,0.2,0,0.2,0.2,0.2,0
"373",22347,0,0,0,0,0.5,0.5,0,0,0,0
"374",11203,0,0,0,0,0.1111111111,0,0,0,0.8888888889,0
"375",11373,1,0,0,0,0,0,0,0,0,0
"376",10182,0,0,0,0.2,0,0,0,0.6,0.2,0
"377",24601,0,0,0,0.2,0,0,0,0.6,0.2,0
"378",11133,0,0,0,0,0.5,0,0,0.1666666667,0.3333333333,0
"379",10993,0.3333333333,0,0,0,0,0,0,0.3333333333,0.3333333333,0
"380",10913,0,0,0.1666666667,0,0.5,0,0.3333333333,0,0,0
"381",10461,0.1666666667,0.6666666667,0,0,0,0,0,0,0.1666666667,0
"382",10451,0.2,0.4,0,0,0.2,0,0.2,0,0,0
"383",11113,0,0,0,0.2857142857,0,0.2857142857,0.1428571429,0,0.2857142857,0
"384",11882,0,0,0,0,0.5,0,0,0.25,0.25,0
"385",12443,0,0,1,0,0,0,0,0,0,0
"386",12283,0.2,0,0,0.2,0,0,0.2,0.4,0,0
"387",12556,0,1,0,0,0,0,0,0,0,0
"388",12803,0,0.6,0,0,0,0,0,0,0.4,0
"389",13033,0,0.25,0,0.75,0,0,0,0,0,0
"390",13863,0,0,0,0,0,0.75,0.25,0,0,0
"391",14173,0,0,0,0.2,0,0,0,0,0.8,0
"392",15463,0,0.125,0,0.875,0,0,0,0,0,0
"393",21253,0,0,0,0.5,0,0,0.25,0.25,0,0
"394",16103,0.3333333333,0,0.1666666667,0,0,0,0,0,0.5,0
"395",16283,0.25,0.5,0,0,0,0,0,0,0.25,0
"396",16732,0,0,0,1,0,0,0,0,0,0
"397",16443,0,0.4,0,0,0,0,0,0.6,0,0
"398",16793,0,0,0,0,0,0,0,0,0,1
"399",16823,0.1,0.6,0,0.2,0,0,0,0,0.1,0
"400",17203,0,0.1428571429,0.1428571429,0,0.5714285714,0,0.1428571429,0,0,0
"401",17332,0.3333333333,0,0,0.1666666667,0,0,0.3333333333,0.1666666667,0,0
"402",17502,0,0.1111111111,0,0.4444444444,0,0,0,0.2222222222,0.2222222222,0
"403",18342,0,0.1428571429,0,0,0,0,0.7142857143,0,0,0.1428571429
"404",18592,0.25,0.25,0,0,0,0.25,0,0.25,0,0
"405",18862,0.2,0,0.4,0.2,0,0.2,0,0,0,0
"406",18852,0,0.1428571429,0,0,0.8571428571,0,0,0,0,0
"407",19323,0,0.1428571429,0.1428571429,0,0.5714285714,0,0.1428571429,0,0,0
"408",19063,0,0,0,0.5,0,0,0.5,0,0,0
"409",19123,0,1,0,0,0,0,0,0,0,0
"410",19683,0,0.2,0,0,0,0.1,0,0.6,0.1,0
"411",19853,0,0,0.3333333333,0.6666666667,0,0,0,0,0,0
"412",20763,0,0.3333333333,0,0,0.3333333333,0,0,0.3333333333,0,0
"413",20343,0,0.1666666667,0,0,0.1666666667,0,0,0,0.6666666667,0
"414",20883,0,0,0,0.25,0,0,0.5,0,0.25,0
"415",21123,0,0.8,0,0,0,0,0,0,0.2,0
"416",21333,0.1428571429,0.1428571429,0,0,0.4285714286,0,0.1428571429,0,0.1428571429,0
"417",21743,0.8,0,0,0,0,0.2,0,0,0,0
"418",21987,0,0,0,0.4,0.6,0,0,0,0,0
"419",21995,0,1,0,0,0,0,0,0,0,0
"420",22013,0,0,0.6666666667,0,0,0,0,0,0.3333333333,0
"421",22022,0,0.1428571429,0,0,0.5714285714,0,0.1428571429,0.1428571429,0,0
"422",22043,0,0.1111111111,0,0.7777777778,0,0,0.1111111111,0,0,0
"423",22057,0,0,1,0,0,0,0,0,0,0
"424",22090,0.4,0.2,0,0,0,0,0.2,0.2,0,0
"425",22065,0,0,0.3333333333,0.1111111111,0.4444444444,0,0.1111111111,0,0,0
"426",22101,0.5714285714,0,0,0,0.4285714286,0,0,0,0,0
"427",22123,0,0,0,0,0.2,0,0.2,0.4,0.2,0
"428",22151,0,0,0,0.1666666667,0.3333333333,0,0.1666666667,0.3333333333,0,0
"429",22165,0,0,0,0,0,0,0.6666666667,0,0,0.3333333333
"430",22420,0,0.75,0,0,0,0,0.25,0,0,0
"431",22275,0,0,0,1,0,0,0,0,0,0
"432",22192,0,0,0,0,0,0.5,0,0.25,0.25,0
"433",22221,0.2,0,0,0,0.2,0,0,0,0.6,0
"434",22200,0,0,0,0.25,0,0,0,0.25,0.5,0
"435",22214,0,0,0,1,0,0,0,0,0,0
"436",22229,0,0,0,0.25,0,0,0,0.25,0.5,0
"437",22232,0,0,0,0.1111111111,0.2222222222,0,0.5555555556,0.1111111111,0,0
"438",22260,0,0.1428571429,0,0,0,0,0.5714285714,0.1428571429,0.1428571429,0
"439",22270,0,0,0.3333333333,0,0,0,0,0.6666666667,0,0
"440",22397,0,0,0,0.3333333333,0,0,0,0,0.6666666667,0
"441",22354,0,0,0,0.2,0.6,0,0.2,0,0,0
"442",22366,0,0.75,0,0,0,0,0.125,0,0.125,0
"443",22388,0,0,0,0,0.25,0,0.5,0,0.25,0
"444",22466,0,0,0,0.8,0,0,0,0,0,0.2
"445",22474,0,0,0,0.2,0,0.2,0.4,0,0.2,0
"446",22529,0,0,0,1,0,0,0,0,0,0
"447",22492,0,0,0,1,0,0,0,0,0,0
"448",22506,0,0,0,1,0,0,0,0,0,0
"449",22544,0,0,0,1,0,0,0,0,0,0
"450",22563,0,0.3333333333,0,0.3333333333,0,0,0,0,0,0.3333333333
"451",22573,0,0,0.5,0,0,0,0,0.5,0,0
"452",22644,0,0.25,0,0,0,0,0,0.5,0.25,0
"453",22583,0,0,0,0.16,0.6,0,0,0.24,0,0
"454",22651,0.1428571429,0.2857142857,0,0.1428571429,0.2857142857,0,0,0,0.1428571429,0
"455",22707,0,0.75,0,0,0,0,0.25,0,0,0
"456",22685,0,0,0,0.2,0,0,0.6,0.2,0,0
"457",22695,0,0,0,0,0,0,1,0,0,0
"458",22725,0,0.5,0.25,0,0,0,0.25,0,0,0
"459",22716,0,0.2222222222,0,0.4444444444,0,0,0.2222222222,0,0,0.1111111111
"460",22747,0,0.3333333333,0,0,0,0,0,0,0,0.6666666667
"461",22763,0,0.4,0,0,0,0,0,0,0.6,0
"462",22775,0,0,0,0,0,0,0.2,0.2,0.4,0.2
"463",22806,0,0,0,1,0,0,0,0,0,0
"464",22832,0,0.25,0,0.5,0.25,0,0,0,0,0
"465",22818,0,0.5714285714,0.2857142857,0,0.1428571429,0,0,0,0,0
"466",22849,0.3333333333,0.6666666667,0,0,0,0,0,0,0,0
"467",22862,0,0,0,1,0,0,0,0,0,0
"468",22869,0,0.6,0,0,0.2,0,0,0.2,0,0
"469",22881,0,0,0,0.8333333333,0,0,0.1666666667,0,0,0
"470",22964,0,0.3333333333,0,0,0.6666666667,0,0,0,0,0
"471",22902,0,0,0,0,0.25,0,0,0,0.25,0.5
"472",22957,0,0,0,0,0.25,0,0.5,0.25,0,0
"473",22976,0.25,0,0,0,0,0,0,0.25,0.5,0
"474",22981,0,0,0,1,0,0,0,0,0,0
"475",22999,0,0.5,0,0,0,0,0.1666666667,0,0.3333333333,0
"476",23009,0,0,0,0.4,0,0,0.4,0,0.2,0
"477",23144,0,0,0,0.1666666667,0,0.1666666667,0.1666666667,0.3333333333,0.1666666667,0
"478",23017,0,0,0.375,0.125,0.375,0,0,0,0.125,0
"479",23052,0,0.3333333333,0,0.1666666667,0.3333333333,0,0.1666666667,0,0,0
"480",23068,0,0,0,0,0,0,0.75,0.25,0,0
"481",23076,0,0.5,0,0.1666666667,0.1666666667,0,0,0,0.1666666667,0
"482",23091,0,0,0,0.4,0,0,0,0.4,0,0.2
"483",23131,0.4,0,0,0,0.2,0,0,0,0.4,0
"484",23152,0,0.2857142857,0.2857142857,0.1428571429,0.1428571429,0.1428571429,0,0,0,0
"485",23155,0,0.5,0.25,0.25,0,0,0,0,0,0
"486",26899,0,0,0,0,0,0,0,0.5,0.5,0
"487",23225,0,0,0.25,0.25,0.25,0,0.25,0,0,0
"488",23175,0,0.1111111111,0,0.2222222222,0,0,0,0.2222222222,0.3333333333,0.1111111111
"489",23187,0,0,0,0,0.75,0,0,0.125,0.125,0
"490",23183,0,0,0.3333333333,0,0,0,0.1666666667,0,0.5,0
"491",23202,0,0,0,0.3333333333,0.6666666667,0,0,0,0,0
"492",23231,0,0.2857142857,0,0,0,0,0.1428571429,0.4285714286,0.1428571429,0
"493",23305,0,0,0,0.5,0.5,0,0,0,0,0
"494",23253,0,0,0,0,0.75,0,0.125,0,0.125,0
"495",23273,0,0.1428571429,0,0.1428571429,0,0,0.4285714286,0,0.2857142857,0
"496",23319,0.25,0.25,0,0,0,0,0.25,0.25,0,0
"497",23324,0,0,0,0.1428571429,0,0,0.8571428571,0,0,0
"498",23337,0,0,0,0.5,0,0.5,0,0,0,0
"499",23369,0,0,0,0.4,0,0,0.2,0.2,0.2,0
"500",23381,0.2,0,0,0,0,0,0,0.4,0.2,0.2
"501",23388,0,0,1,0,0,0,0,0,0,0
"502",23405,0.25,0,0,0,0,0,0.75,0,0,0
"503",23433,0,0.1,0,0.5,0.1,0,0,0,0.3,0
"504",23451,0.5,0,0,0.25,0,0,0,0,0.25,0
"505",23461,0,0.6666666667,0,0.3333333333,0,0,0,0,0,0
"506",23467,0,0,0,0.8,0,0,0.2,0,0,0
"507",23494,0,0.5,0,0,0.5,0,0,0,0,0
"508",23502,0,0.25,0,0,0,0,0.5,0,0.25,0
"509",23520,0,0,0,0.2857142857,0.4285714286,0,0.2857142857,0,0,0
"510",23513,0.2,0,0,0,0.2,0,0.4,0,0.2,0
"511",23530,0,0,0,0.2857142857,0.4285714286,0,0.2857142857,0,0,0
"512",23531,0.25,0,0.25,0,0.25,0,0,0.25,0,0
"513",23537,0,0,0.3333333333,0,0,0,0,0.6666666667,0,0
"514",23555,0,0,0.25,0,0.75,0,0,0,0,0
"515",23564,0,0,0,0,0,0,0,1,0,0
"516",24646,0,0,0,0.6,0,0,0,0,0,0.4
"517",24658,0,0,0,0,1,0,0,0,0,0
"518",23603,0,0,0.5,0,0,0,0.3333333333,0,0.1666666667,0
"519",23634,0.4,0,0,0,0.2,0,0,0.4,0,0
"520",23637,0,0.4,0.2,0.4,0,0,0,0,0,0
"521",23646,0.2,0.2,0,0,0,0,0,0,0.6,0
"522",23659,0.2,0.2,0,0,0,0,0,0,0.6,0
"523",23660,0.2,0.2,0,0,0,0,0,0,0.6,0
"524",23661,0.2857142857,0.7142857143,0,0,0,0,0,0,0,0
"525",23669,0,0,0,0.6,0,0,0,0,0.4,0
"526",23707,0.25,0,0,0,0,0,0.75,0,0,0
"527",23782,0,0,0,0,0,0,0.2857142857,0,0.7142857143,0
"528",24607,0,0,0.125,0.125,0.75,0,0,0,0,0
"529",23763,0,0,0.3333333333,0,0.6666666667,0,0,0,0,0
"530",23737,0.25,0,0,0,0.25,0,0,0.5,0,0
"531",23745,0,0.3333333333,0,0,0,0,0,0.5,0.1666666667,0
"532",23751,0.6666666667,0,0.3333333333,0,0,0,0,0,0,0
"533",23808,0,0,0,0.25,0,0,0.25,0,0.5,0
"534",23818,0,0.3333333333,0,0,0,0,0.6666666667,0,0,0
"535",26511,0,0,0,0,0.5555555556,0.1111111111,0.2222222222,0.1111111111,0,0
"536",23825,0.3333333333,0,0,0,0.3333333333,0,0.3333333333,0,0,0
"537",23832,0,0,0,0,0,0,0.1666666667,0.5,0.1666666667,0.1666666667
"538",23840,0.1666666667,0,0,0.1666666667,0,0,0,0.1666666667,0.5,0
"539",24168,0,0.1666666667,0,0.5,0,0,0,0,0,0.3333333333
"540",24179,0,0,0,0,0.6666666667,0,0,0.3333333333,0,0
"541",24187,0,0,0,0.3333333333,0.3333333333,0,0,0,0.3333333333,0
"542",24195,0,0,0,0.3333333333,0.3333333333,0,0,0,0.3333333333,0
"543",24196,0,0,0,0.3333333333,0.3333333333,0,0,0,0.3333333333,0
"544",24197,0,0,0,0,0,0,0.6666666667,0.3333333333,0,0
"545",24203,0,0,0,0.8333333333,0,0,0,0,0.1666666667,0
"546",24720,0.2,0.2,0,0,0,0,0,0,0.6,0
"547",24701,0,0,0.3333333333,0,0,0,0.3333333333,0.3333333333,0,0
"548",24710,0,0.8,0,0,0.2,0,0,0,0,0
"549",24727,0,0,0,1,0,0,0,0,0,0
"550",24751,0,0,0,0,0.8333333333,0,0,0.1666666667,0,0
"551",24792,0.5,0.25,0,0,0,0,0.25,0,0,0
"552",24796,0,0,0,0.5,0.25,0,0,0,0.25,0
"553",24765,0,0,0,0,0,0.3333333333,0.6666666667,0,0,0
"554",24798,0,0,0,0,0,0.5,0.25,0.25,0,0
"555",24827,0,0.1428571429,0.5714285714,0,0.1428571429,0,0,0,0.1428571429,0
"556",24810,0,0,0,0.3333333333,0,0,0.6666666667,0,0,0
"557",24841,0,0.2,0,0,0.4,0,0,0,0.4,0
"558",24851,0,0,0,0.2,0.2,0,0,0,0.4,0.2
"559",24862,0,0,0,0.2,0.6,0,0,0.2,0,0
"560",24872,0.1428571429,0,0,0,0,0,0,0.1428571429,0.7142857143,0
"561",24881,0,0.5555555556,0.1111111111,0,0.3333333333,0,0,0,0,0
"562",24935,0,0.1818181818,0,0.4545454545,0.2727272727,0,0,0,0.0909090909,0
"563",24958,0,0,0,0.75,0,0,0,0,0.25,0
"564",24966,0.4,0,0,0,0.2,0,0,0.4,0,0
"565",25009,0.25,0.25,0,0,0,0,0.25,0.25,0,0
"566",25077,0,0,0,0,1,0,0,0,0,0
"567",25044,0,0.5,0,0.1666666667,0,0,0,0.3333333333,0,0
"568",25032,0,0,0.6666666667,0,0,0,0,0,0.3333333333,0
"569",25086,0,0.1666666667,0,0,0.8333333333,0,0,0,0,0
"570",25107,0,0.25,0,0,0,0.25,0,0.25,0.25,0
"571",25110,0,0,0,0.2,0,0,0.4,0.2,0.2,0
"572",25131,0,0,0,0.75,0,0,0.25,0,0,0
"573",25141,0.5,0,0,0.25,0,0,0.25,0,0,0
"574",25157,0.2,0,0,0,0,0,0,0.2,0.6,0
"575",25187,0,0.1666666667,0,0,0,0,0.3333333333,0.1666666667,0.3333333333,0
"576",25209,0,0,0,0,0,0,0.75,0.25,0,0
"577",25226,0,0.6666666667,0,0,0.3333333333,0,0,0,0,0
"578",25233,0,0,0,0.5,0,0,0,0,0.5,0
"579",25264,0,1,0,0,0,0,0,0,0,0
"580",25271,0,0.625,0,0.25,0,0,0,0,0.125,0
"581",25285,0,0,0,0,0.2,0,0,0.2,0.6,0
"582",25299,0,0,0.2857142857,0,0.5714285714,0,0,0,0.1428571429,0
"583",25310,0,0,0,0.1428571429,0.8571428571,0,0,0,0,0
"584",25332,0.25,0,0,0.25,0,0,0,0,0.5,0
"585",25351,0,0,0,0,0,0,0,0.5,0.5,0
"586",25353,0,0,0,0,0,0,0,0.5,0.5,0
"587",25354,0,1,0,0,0,0,0,0,0,0
"588",25357,0,0,0,0.6,0,0,0,0.2,0,0.2
"589",25363,0,0,0,0,0,0,0.3333333333,0,0,0.6666666667
"590",25372,0,0,0,0.6,0,0,0,0,0,0.4
"591",25418,0,0,0,0.4,0,0,0,0.4,0.2,0
"592",25423,0.2,0,0,0,0,0,0,0,0.8,0
"593",25448,0,0.5,0,0,0.5,0,0,0,0,0
"594",25385,0,0,0,0.1428571429,0.1428571429,0,0.7142857143,0,0,0
"595",25408,0,0.2,0,0.6,0.2,0,0,0,0,0
"596",25451,0,0.5,0.1666666667,0,0,0,0,0,0.3333333333,0
"597",25478,0,0.6,0,0.4,0,0,0,0,0,0
"598",25490,0,0.1666666667,0,0,0,0.5,0.3333333333,0,0,0
"599",25538,0,0,0,0.25,0.5,0,0.25,0,0,0
"600",25514,0.2857142857,0.5714285714,0,0,0,0,0,0,0.1428571429,0
"601",25554,0,0,0,0.2,0.4,0,0,0,0.4,0
"602",26376,0,0.2,0,0.2,0.2,0,0.4,0,0,0
"603",25561,0,0,0,0.25,0,0,0,0.125,0.625,0
"604",25571,0.2,0,0,0,0,0,0,0.2,0.6,0
"605",25581,0,0,0,0.3333333333,0.3333333333,0,0,0.3333333333,0,0
"606",25588,0,0.7142857143,0,0,0,0,0.1428571429,0,0.1428571429,0
"607",25600,0,0.1666666667,0,0,0.8333333333,0,0,0,0,0
"608",25615,0,0.75,0,0.25,0,0,0,0,0,0
"609",25660,0,0,0,0.2,0,0,0.6,0,0.2,0
"610",25671,0,0.3333333333,0.3333333333,0,0,0,0,0,0.3333333333,0
"611",25684,0,0,0,0.6666666667,0,0,0,0,0.3333333333,0
"612",25703,0,0,0,0.5,0,0,0.25,0,0.25,0
"613",25732,0,0.3333333333,0.3333333333,0,0,0.3333333333,0,0,0,0
"614",25750,0.5,0,0,0,0.25,0,0,0,0.25,0
"615",25760,0,0,0,0.25,0,0,0,0,0.75,0
"616",25773,0.3076923077,0.1538461538,0.3076923077,0,0.0769230769,0,0.1538461538,0,0,0
"617",25805,0,0,0,0,0.25,0,0,0.5,0.25,0
"618",25817,0,0,0,0,0.25,0,0.25,0.25,0.25,0
"619",25843,0,0.2222222222,0,0.1111111111,0,0,0.6666666667,0,0,0
"620",25907,0,0,0,0,0,0,0,0.6666666667,0.3333333333,0
"621",25860,0,0.1666666667,0,0,0,0,0.1666666667,0.3333333333,0.3333333333,0
"622",25870,0,0,0,0.5,0,0,0,0.5,0,0
"623",25881,0,0,0,0,0,0,1,0,0,0
"624",25892,0.2,0,0,0.2,0,0,0,0.4,0.2,0
"625",25900,0,0,0,0,0.3333333333,0,0,0.3333333333,0.3333333333,0
"626",25910,0,0.5,0,0.1666666667,0.1666666667,0,0,0,0,0.1666666667
"627",25954,0.0909090909,0.1818181818,0,0.2727272727,0,0,0.0909090909,0,0.3636363636,0
"628",25919,0,0.5,0,0.375,0,0,0,0.125,0,0
"629",25934,0,0.2,0,0.6,0,0,0.2,0,0,0
"630",25977,0,0,0.2857142857,0,0.1428571429,0,0.1428571429,0.4285714286,0,0
"631",26002,0,0,0,0,0,0.3333333333,0,0,0.6666666667,0
"632",26007,0,0,0,0,0.75,0,0.25,0,0,0
"633",26026,0,0,0,0,0.5,0,0.25,0,0.25,0
"634",26032,0,1,0,0,0,0,0,0,0,0
"635",26042,0,0.1666666667,0,0,0,0,0.1666666667,0,0.6666666667,0
"636",26058,0,0.6,0.2,0,0.2,0,0,0,0,0
"637",26071,0,0,0,0.8,0,0,0,0,0.2,0
"638",26080,0.6,0,0,0,0,0.2,0,0,0.2,0
"639",26092,0,0.3333333333,0.3333333333,0.3333333333,0,0,0,0,0,0
"640",26100,0.125,0,0,0.75,0,0,0,0,0.125,0
"641",26112,0,0.3333333333,0,0,0.6666666667,0,0,0,0,0
"642",26118,0.2,0.2,0,0,0.4,0,0,0.2,0,0
"643",26127,0,0,0,1,0,0,0,0,0,0
"644",26136,0,0,0,0,0,0,0,0.75,0.25,0
"645",26146,0.3333333333,0,0,0,0,0,0,0.6666666667,0,0
"646",26157,0,0,0.75,0,0,0,0,0,0.25,0
"647",26165,0,0,0,0,0,0.3333333333,0,0.6666666667,0,0
"648",26174,0,0,0,0.3333333333,0.1666666667,0,0.3333333333,0.1666666667,0,0
"649",26194,0,0,0,0.2,0,0,0,0,0.6,0.2
"650",26207,0,0.2222222222,0,0.1111111111,0,0,0.6666666667,0,0,0
"651",26224,0,0.5,0,0.125,0.125,0,0,0.25,0,0
"652",26246,0,0,0,0,0.6,0,0.2,0,0,0.2
"653",26250,0,0.75,0,0,0,0,0,0.25,0,0
"654",26263,0,0.75,0,0,0,0,0,0,0.25,0
"655",26277,0,0,0,0.4,0,0,0,0,0,0.6
"656",26283,0,0,0,0,0.2,0,0.2,0.2,0.4,0
"657",26296,0,0.3333333333,0,0,0.1666666667,0,0.1666666667,0,0.3333333333,0
"658",26310,0.2,0,0.2,0,0,0,0.2,0,0.4,0
"659",26324,0,0,0,0.8,0,0,0,0,0.2,0
"660",26325,0.2,0,0,0.2,0,0.2,0.4,0,0,0
"661",26336,0,0,0.1666666667,0.1666666667,0,0,0.3333333333,0.1666666667,0.1666666667,0
"662",26362,0,0,0,0,1,0,0,0,0,0
"663",26431,0.2,0,0,0,0,0,0,0.2,0.6,0
"664",26423,0,0.2857142857,0,0,0,0,0.1428571429,0.5714285714,0,0
"665",26427,0,0,0,0,0.8333333333,0.1666666667,0,0,0,0
"666",26387,0,0.5,0,0,0.25,0,0,0,0,0.25
"667",26401,0,0.5,0,0,0,0,0,0.25,0.25,0
"668",26410,0.2,0.2,0,0,0,0,0,0.2,0.4,0
"669",26416,0,1,0,0,0,0,0,0,0,0
"670",26440,0.25,0,0,0,0,0,0,0.25,0.5,0
"671",26457,0,0,0,0,0,0,0,0,0,0
"672",26483,0,0.3333333333,0,0,0.1666666667,0,0.1666666667,0,0.3333333333,0
"673",26490,0.3333333333,0.3333333333,0,0,0,0,0.3333333333,0,0,0
"674",26522,0.2,0,0,0,0.2,0.2,0,0,0.4,0
"675",26530,0,1,0,0,0,0,0,0,0,0
"676",26542,0,0,0,0.6666666667,0,0,0.3333333333,0,0,0
"677",26555,0,0,0.3333333333,0,0,0,0.3333333333,0.3333333333,0,0
"678",26562,0,0,0,0.2,0.4,0,0,0,0,0.4
"679",26567,0.5,0,0.3333333333,0,0,0,0.1666666667,0,0,0
"680",26579,0,0.4,0,0,0,0,0,0.2,0.4,0
"681",26587,0,0.4,0,0,0.6,0,0,0,0,0
"682",26597,0,0.1666666667,0,0,0.3333333333,0,0,0.3333333333,0,0.1666666667
"683",26610,0,0.2,0,0,0,0,0,0,0.8,0
"684",26621,0,0.2,0,0.6,0,0,0.2,0,0,0
"685",26636,0,0,0.1666666667,0,0.3333333333,0.1666666667,0.1666666667,0,0.1666666667,0
"686",26645,0,0,0,1,0,0,0,0,0,0
"687",26665,0.75,0.25,0,0,0,0,0,0,0,0
"688",26675,0.2,0,0,0,0,0,0.2,0.6,0,0
"689",26691,0,0,0,0,0,0,0.5,0.5,0,0
"690",26697,0.1666666667,0,0,0,0.3333333333,0,0.5,0,0,0
"691",26711,0.3333333333,0.1666666667,0,0,0,0,0,0.1666666667,0.3333333333,0
"692",26730,0,0,0,0.4,0,0,0.2,0.4,0,0
"693",26753,0,0.1666666667,0,0,0,0,0,0.8333333333,0,0
"694",26756,0,0,0,0,0,0.3333333333,0,0,0.6666666667,0
"695",26763,0,0.1666666667,0,0,0.3333333333,0,0.1666666667,0.1666666667,0.1666666667,0
"696",26767,0.2,0.2,0,0,0.2,0,0.2,0,0.2,0
"697",26774,0,0.4,0.2,0.2,0.2,0,0,0,0,0
"698",26795,0,0,0,1,0,0,0,0,0,0
"699",26829,0.1666666667,0,0,0,0,0,0,0,0.8333333333,0
"700",26842,0.25,0,0,0.25,0.5,0,0,0,0,0
"701",26906,0,0,0,0,0.8,0,0.2,0,0,0
"702",26921,0,0.2,0,0,0,0,0,0.2,0.6,0
"703",26945,0,0,0,0,0,0,1,0,0,0
"704",26949,0,0,0,0.2,0,0,0,0,0.8,0
"705",26961,0,0.3333333333,0,0,0.1666666667,0,0.3333333333,0,0.1666666667,0
"706",26969,0,0.25,0.25,0,0.25,0,0,0,0.25,0
"707",26977,0,0,0,0.6666666667,0,0,0,0,0.3333333333,0
"708",26982,0,0,0,1,0,0,0,0,0,0
"709",26991,0.6,0,0,0.2,0,0,0,0,0.2,0
"710",27019,0,0.4,0,0,0,0,0,0,0.6,0
"711",27035,0,0,0,0,0,0,0.1666666667,0.1666666667,0.6666666667,0
